Godot Engine v4.6.3.stable.mono.official.7d41c59c4 - https://godotengine.org
[TIMING ] wwise_callback=grid  position_beats=109.964  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=110.980  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=110.980  error_ms=1.000
[TIMING ] wwise_callback=bar  position_beats=111.996  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=111.996  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=111.996  error_ms=1.000
[AUDIO  ] arrangement=layer  enabled=false  requested_at=112.009
[TIMING ] wwise_callback=beat  position_beats=112.969  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=112.969  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=113.983  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=113.983  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=114.954  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=114.954  error_ms=1.000
[TIMING ] wwise_callback=bar  position_beats=115.972  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=115.972  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=115.972  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=116.997  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=116.997  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=117.966  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=117.966  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=118.980  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=118.980  error_ms=3.000
[TIMING ] wwise_callback=bar  position_beats=119.996  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=119.996  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=119.996  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=120.966  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=120.966  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=121.985  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=121.985  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=123.009  error_ms=7.000
[TIMING ] wwise_callback=grid  position_beats=123.009  error_ms=7.000
[TIMING ] wwise_callback=bar  position_beats=123.967  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=123.967  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=123.967  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=124.983  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=124.983  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=125.965  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=125.965  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=126.979  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=126.979  error_ms=4.000
[AUDIO  ] arrangement=transition  section=loop  requested_at=128.008
[TIMING ] wwise_segment=wrapped  segment_ms=14769.000  elapsed_ms=59076.000
[TIMING ] wwise_callback=beat  position_beats=128.966  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=128.966  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=129.980  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=129.980  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=131.000  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=131.000  error_ms=4.000
[TIMING ] wwise_callback=bar  position_beats=131.966  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=131.966  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=131.966  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=132.980  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=132.980  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=133.997  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=133.997  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=134.978  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=134.978  error_ms=6.000
[TIMING ] wwise_callback=bar  position_beats=135.990  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=135.990  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=135.990  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=136.958  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=136.958  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=137.977  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=137.977  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=138.991  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=138.991  error_ms=1.000
[TIMING ] wwise_callback=bar  position_beats=139.961  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=139.961  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=139.961  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=140.978  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=140.978  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=141.992  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=141.992  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=142.973  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=142.973  error_ms=5.000
[TIMING ] wwise_callback=bar  position_beats=143.989  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=143.989  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=143.989  error_ms=5.000
[AUDIO  ] arrangement=layer  enabled=true  requested_at=144.004
[TIMING ] wwise_callback=beat  position_beats=145.005  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=145.005  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=145.972  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=145.972  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=146.994  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=146.994  error_ms=2.000
[TIMING ] wwise_callback=bar  position_beats=147.961  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=147.961  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=147.961  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=148.975  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=148.975  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=149.993  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=149.993  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=150.961  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=150.961  error_ms=1.000
[TIMING ] wwise_callback=bar  position_beats=151.988  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=151.988  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=151.988  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=153.005  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=153.005  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=153.971  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=153.971  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=154.987  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=154.987  error_ms=3.000
[TIMING ] wwise_callback=bar  position_beats=156.008  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=156.008  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=156.008  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=156.976  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=156.976  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=157.992  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=157.992  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=158.959  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=158.959  error_ms=2.000
[AUDIO  ] arrangement=transition  section=alternate  requested_at=160.005
[TIMING ] wwise_segment=wrapped  segment_ms=14769.000  elapsed_ms=73845.000
[TIMING ] wwise_callback=beat  position_beats=160.989  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=160.989  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=161.972  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=161.972  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=162.986  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=162.986  error_ms=5.000
[TIMING ] wwise_callback=bar  position_beats=164.003  error_ms=4.000
